Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
1 Mar 2024 16:56:41,290.359,7.862,1999.998569
1 Mar 2024 16:57:40,297.038,12.849,1664.14231
1 Mar 2024 16:58:40,307.435,18.992,1359.238579
1 Mar 2024 16:59:40,324.163,25.789,1122.563568
1 Mar 2024 17:00:40,349.328,30.374,1004.716976
1 Mar 2024 17:01:40,17.177,28.597,1047.083214
1 Mar 2024 17:02:40,38.015,22.299,1233.112365
1 Mar 2024 17:03:40,51.084,15.687,1510.08306
1 Mar 2024 17:04:40,59.354,10.117,1836.518461
1 Mar 2024 17:05:08,62.222,7.857,1999.990314
1 Mar 2024 18:37:47,301.817,7.869,1999.981528
1 Mar 2024 18:38:47,306.905,13.322,1636.785856
1 Mar 2024 18:39:47,315.119,20.498,1298.601891
1 Mar 2024 18:40:47,329.964,29.908,1014.784835
1 Mar 2024 18:41:47,358.148,38.969,843.785426
1 Mar 2024 18:42:47,36.1,38.093,856.886542
1 Mar 2024 18:43:47,62.169,28.518,1047.208788
1 Mar 2024 18:44:47,75.8,19.37,1340.841384
1 Mar 2024 18:45:47,83.45,12.453,1683.830177
1 Mar 2024 18:46:39,87.712,7.804,1999.983862
1 Mar 2024 20:18:27,291.856,7.844,1999.999919
1 Mar 2024 20:19:27,289.533,13.667,1615.119546
1 Mar 2024 20:20:27,285.42,21.885,1245.162465
1 Mar 2024 20:21:27,276.617,34.713,912.940213
1 Mar 2024 20:22:27,250.01,53.95,678.628026
1 Mar 2024 20:23:27,180.765,56.746,658.132497
1 Mar 2024 20:24:27,148.089,37.272,866.822732
1 Mar 2024 20:25:27,137.897,23.414,1189.12793
1 Mar 2024 20:26:27,133.311,14.649,1555.145613
1 Mar 2024 20:27:27,130.753,8.528,1939.278866
1 Mar 2024 20:27:36,130.455,7.723,1999.980867
1 Mar 2024 22:00:58,252.273,7.763,1999.999957
1 Mar 2024 22:01:57,240.243,9.714,1855.80557
1 Mar 2024 22:02:57,226.559,10.6,1794.440526
1 Mar 2024 22:03:57,212.631,10.106,1826.22177
1 Mar 2024 22:04:57,199.903,8.398,1946.373219
1 Mar 2024 22:05:16,196.309,7.686,1999.98967
2 Mar 2024 13:31:43,220.642,7.762,1999.979665
2 Mar 2024 13:32:42,216.563,13.326,1630.247836
2 Mar 2024 13:33:42,209.637,20.906,1278.798679
2 Mar 2024 13:34:42,196.253,31.477,976.930158
2 Mar 2024 13:35:42,167.287,43.093,785.899454
2 Mar 2024 13:36:42,123.279,42.687,791.472295
2 Mar 2024 13:37:42,95.346,30.943,990.334645
2 Mar 2024 13:38:42,82.449,20.547,1295.871272
2 Mar 2024 13:39:42,75.744,13.096,1649.023432
2 Mar 2024 13:40:38,71.96,7.861,1999.990971
2 Mar 2024 15:12:21,265.798,7.829,1999.979311
2 Mar 2024 15:13:21,269.952,13.419,1629.299141
2 Mar 2024 15:14:21,276.814,21.032,1277.535189
2 Mar 2024 15:15:21,289.901,31.773,973.108137
2 Mar 2024 15:16:21,318.668,44.083,775.69107
2 Mar 2024 15:17:21,4.569,44.323,773.043822
2 Mar 2024 15:18:21,33.897,32.111,966.718388
2 Mar 2024 15:19:21,47.236,21.295,1269.303143
2 Mar 2024 15:20:21,54.212,13.626,1620.073815
2 Mar 2024 15:21:21,58.457,7.967,1992.751178
2 Mar 2024 15:21:22,58.522,7.873,1999.978101
2 Mar 2024 16:53:55,294.978,7.87,1999.983212
2 Mar 2024 16:54:54,301.795,12.846,1664.731851
2 Mar 2024 16:55:54,312.339,18.919,1362.577106
2 Mar 2024 16:56:54,329.171,25.551,1129.669773
2 Mar 2024 16:57:54,354.147,29.891,1015.962758
2 Mar 2024 16:58:54,21.488,28.049,1060.960667
2 Mar 2024 16:59:54,41.992,21.889,1247.466419
2 Mar 2024 17:00:54,54.96,15.409,1523.857988
2 Mar 2024 17:01:54,63.223,9.922,1849.493066
2 Mar 2024 17:02:20,65.895,7.852,1999.977881
2 Mar 2024 18:34:51,301.284,7.869,1999.982774
2 Mar 2024 18:35:50,305.185,13.48,1627.735983
2 Mar 2024 18:36:50,311.644,21.187,1272.535733
2 Mar 2024 18:37:50,324.115,32.276,962.455129
2 Mar 2024 18:38:50,352.814,45.642,757.126634
2 Mar 2024 18:39:50,41.658,46.317,749.391938
2 Mar 2024 18:40:50,71.997,33.109,944.200588
2 Mar 2024 18:41:50,85.106,21.739,1249.741298
2 Mar 2024 18:42:50,91.8,13.84,1603.159931
2 Mar 2024 18:43:50,95.821,8.077,1978.011011
2 Mar 2024 18:43:53,96.005,7.789,1999.974238
2 Mar 2024 20:15:36,286.907,7.837,1999.993166
2 Mar 2024 20:16:35,282.414,13.285,1636.11617
2 Mar 2024 20:17:35,274.807,20.621,1291.01621
2 Mar 2024 20:18:35,260.507,30.46,999.260831
2 Mar 2024 20:19:35,231.894,40.309,821.502462
2 Mar 2024 20:20:35,192.117,39.337,834.854466
2 Mar 2024 20:21:35,165.81,28.975,1031.855943
2 Mar 2024 20:22:35,152.714,19.437,1332.889972
2 Mar 2024 20:23:35,145.615,12.373,1682.17932
2 Mar 2024 20:24:26,141.799,7.709,1999.99049
3 Mar 2024 11:50:36,168.642,7.738,1999.986295
3 Mar 2024 11:51:35,156.952,10.131,1827.858234
3 Mar 2024 11:52:35,143.133,11.565,1735.338834
3 Mar 2024 11:53:35,128.509,11.539,1738.096664
3 Mar 2024 11:54:35,114.778,10.065,1835.791944
3 Mar 2024 11:55:31,103.84,7.815,1999.987121
3 Mar 2024 13:28:34,231.816,7.777,1999.991137
3 Mar 2024 13:29:34,229.921,13.613,1615.062318
3 Mar 2024 13:30:34,226.555,21.937,1242.123573
3 Mar 2024 13:31:34,219.252,35.185,904.560133
3 Mar 2024 13:32:34,195.282,56.499,661.308374
3 Mar 2024 13:33:34,115.52,61.056,633.754056
3 Mar 2024 13:34:34,82.42,38.992,843.377641
3 Mar 2024 13:35:34,73.488,24.243,1168.338336
3 Mar 2024 13:36:34,69.64,15.17,1536.310346
3 Mar 2024 13:37:34,67.555,8.916,1921.73632
3 Mar 2024 13:37:46,67.251,7.869,1999.999849
3 Mar 2024 15:09:36,273.93,7.844,1999.992464
3 Mar 2024 15:10:36,279.197,13.254,1639.673782
3 Mar 2024 15:11:36,287.687,20.33,1304.896591
3 Mar 2024 15:12:36,302.84,29.439,1026.288161
3 Mar 2024 15:13:36,330.73,37.867,861.672301
3 Mar 2024 15:14:36,7.164,36.85,878.345274
3 Mar 2024 15:15:36,32.547,27.799,1067.749172
3 Mar 2024 15:16:36,46.193,19.01,1358.953929
3 Mar 2024 15:17:36,53.981,12.265,1699.611424
3 Mar 2024 15:18:26,58.2,7.874,1999.999712
3 Mar 2024 16:51:06,298.398,7.875,1999.985811
3 Mar 2024 16:52:05,305.041,12.887,1662.623747
3 Mar 2024 16:53:05,315.381,19.068,1356.543491
3 Mar 2024 16:54:05,332.082,25.948,1118.245439
3 Mar 2024 16:55:05,357.373,30.642,998.705826
3 Mar 2024 16:56:05,25.486,28.871,1040.213409
3 Mar 2024 16:57:05,46.47,22.485,1226.409641
3 Mar 2024 16:58:05,59.565,15.798,1503.977401
3 Mar 2024 16:59:05,67.821,10.185,1831.061146
3 Mar 2024 16:59:34,70.758,7.844,1999.980675
3 Mar 2024 18:31:53,299.78,7.868,1999.980107
3 Mar 2024 18:32:52,302.224,13.603,1620.599677
3 Mar 2024 18:33:52,306.333,21.781,1250.711729
3 Mar 2024 18:34:52,314.747,34.592,916.79021
3 Mar 2024 18:35:52,339.93,54.386,676.709339
3 Mar 2024 18:36:52,52.252,58.761,646.657318
3 Mar 2024 18:37:52,86.763,38.501,849.380689
3 Mar 2024 18:38:52,97.131,24.123,1169.061269
3 Mar 2024 18:39:52,101.846,15.129,1533.470944
3 Mar 2024 18:40:52,104.562,8.894,1916.300953
3 Mar 2024 18:41:05,105.006,7.773,1999.990598
3 Mar 2024 20:12:50,280.624,7.827,1999.986592
3 Mar 2024 20:13:50,273.767,12.809,1662.831804
3 Mar 2024 20:14:50,263.041,18.794,1363.262659
3 Mar 2024 20:15:50,245.918,25.116,1137.683028
3 Mar 2024 20:16:50,221.123,28.81,1036.645192
3 Mar 2024 20:17:50,194.966,26.521,1095.516786
3 Mar 2024 20:18:50,175.689,20.461,1292.386741
3 Mar 2024 20:19:50,163.499,14.236,1575.740248
3 Mar 2024 20:20:50,155.733,8.951,1906.537536
3 Mar 2024 20:21:06,154.142,7.697,1999.991351
4 Mar 2024 11:46:29,187.188,7.738,1999.986533
4 Mar 2024 11:47:29,177.301,11.605,1731.573431
4 Mar 2024 11:48:29,163.924,15.21,1527.966287
4 Mar 2024 11:49:29,147.031,17.508,1418.409038
4 Mar 2024 11:50:29,128.661,17.377,1425.306461
4 Mar 2024 11:51:29,112.107,14.898,1547.158949
4 Mar 2024 11:52:29,99.161,11.242,1759.916023
4 Mar 2024 11:53:22,90.61,7.838,1999.993404
4 Mar 2024 13:25:34,242.274,7.794,1999.975135
4 Mar 2024 13:26:33,242.412,13.669,1612.995465
4 Mar 2024 13:27:33,242.561,22.192,1234.050125
4 Mar 2024 13:28:33,242.732,36.312,885.475266
4 Mar 2024 13:29:33,243.006,63.125,623.009911
4 Mar 2024 13:30:33,62.539,74.878,580.160329
4 Mar 2024 13:31:33,62.986,42.634,793.427209
4 Mar 2024 13:32:33,63.186,25.695,1125.055393
4 Mar 2024 13:33:33,63.363,15.948,1497.567835
4 Mar 2024 13:34:33,63.535,9.422,1885.87661
4 Mar 2024 13:34:50,63.586,7.876,1999.978458
4 Mar 2024 15:06:52,281.215,7.857,1999.982905
4 Mar 2024 15:07:52,287.307,13.098,1649.480557
4 Mar 2024 15:08:52,296.903,19.705,1330.123586
4 Mar 2024 15:09:52,313.123,27.564,1073.795313
4 Mar 2024 15:10:52,339.715,33.696,935.150083
4 Mar 2024 15:11:52,11.042,32.13,966.762415
4 Mar 2024 15:12:52,33.784,24.728,1154.598313
4 Mar 2024 15:13:52,47.179,17.204,1438.159196
4 Mar 2024 15:14:52,55.287,11.119,1771.255854
4 Mar 2024 15:15:31,58.932,7.874,1999.989617
4 Mar 2024 16:48:14,300.621,7.879,1999.982196
4 Mar 2024 16:49:14,306.933,13.081,1651.479357
4 Mar 2024 16:50:14,316.792,19.564,1336.280627
4 Mar 2024 16:51:14,333.227,27.118,1085.709488
4 Mar 2024 16:52:14,359.485,32.753,953.493371
4 Mar 2024 16:53:14,29.765,31.066,988.892298
4 Mar 2024 16:54:14,51.906,23.976,1176.795383
4 Mar 2024 16:55:14,65.185,16.719,1458.930668
4 Mar 2024 16:56:14,73.323,10.783,1790.536583
4 Mar 2024 16:56:50,76.743,7.835,1999.982073
4 Mar 2024 18:28:55,297.347,7.865,1999.971477
4 Mar 2024 18:29:55,298.1,13.769,1611.025719
4 Mar 2024 18:30:55,299.286,22.276,1232.897188
4 Mar 2024 18:31:55,301.693,36.333,885.537752
4 Mar 2024 18:32:55,310.805,62.623,625.127431
4 Mar 2024 18:33:55,90.631,72.917,584.358538
4 Mar 2024 18:34:55,109.098,42.115,797.819169
4 Mar 2024 18:35:55,112.273,25.415,1129.084747
4 Mar 2024 18:36:55,113.654,15.744,1501.338456
4 Mar 2024 18:37:55,114.467,9.251,1889.530082
4 Mar 2024 18:38:12,114.643,7.757,1999.981422
4 Mar 2024 20:10:14,272.457,7.813,1999.984202
4 Mar 2024 20:11:14,263.291,11.981,1711.401187
4 Mar 2024 20:12:14,250.358,16.174,1480.646493
4 Mar 2024 20:13:14,233.09,19.283,1340.830346
4 Mar 2024 20:14:14,213.235,19.731,1321.657527
4 Mar 2024 20:15:14,194.876,17.218,1427.98829
4 Mar 2024 20:16:14,180.653,13.164,1635.100268
4 Mar 2024 20:17:14,170.451,8.899,1909.773765
4 Mar 2024 20:17:32,168.041,7.69,1999.986807
5 Mar 2024 11:42:49,201.78,7.745,1999.986584
5 Mar 2024 11:43:49,194.14,12.549,1674.400494
5 Mar 2024 11:44:49,182.604,18.045,1393.920409
5 Mar 2024 11:45:49,165.19,23.35,1193.288743
5 Mar 2024 11:46:49,141.917,25.849,1117.4113
5 Mar 2024 11:47:49,118.567,23.478,1190.745715
5 Mar 2024 11:48:49,101.027,18.224,1389.684798
5 Mar 2024 11:49:49,89.414,12.734,1669.36382
5 Mar 2024 11:50:49,81.738,7.914,1995.319205
5 Mar 2024 11:50:50,81.652,7.854,1999.989141
5 Mar 2024 13:22:39,252.101,7.811,1999.993345
5 Mar 2024 13:23:38,254.025,13.603,1617.805265
5 Mar 2024 13:24:38,257.276,21.919,1244.501916
5 Mar 2024 13:25:38,264.043,35.223,905.149617
5 Mar 2024 13:26:38,286.21,57.284,656.943649
5 Mar 2024 13:27:38,11.567,63.443,622.122515
5 Mar 2024 13:28:38,45.674,40.092,828.100488
5 Mar 2024 13:29:38,54.38,24.812,1151.719338
5 Mar 2024 13:30:38,58.232,15.533,1518.741999
5 Mar 2024 13:31:38,60.45,9.184,1903.210539
5 Mar 2024 13:31:53,60.868,7.88,1999.990226
5 Mar 2024 15:04:08,287.524,7.867,1999.990046
5 Mar 2024 15:05:07,294.068,12.92,1660.465067
5 Mar 2024 15:06:07,304.285,19.178,1352.043898
5 Mar 2024 15:07:07,320.916,26.225,1110.653403
5 Mar 2024 15:08:07,346.424,31.149,987.910016
5 Mar 2024 15:09:07,15.037,29.415,1027.719749
5 Mar 2024 15:10:07,36.309,22.878,1214.050339
5 Mar 2024 15:11:07,49.467,16.061,1492.46397
5 Mar 2024 15:12:07,57.711,10.371,1820.402882
5 Mar 2024 15:12:38,60.794,7.872,1999.989846
5 Mar 2024 16:45:20,301.692,7.881,1999.976614
5 Mar 2024 16:46:19,307.226,13.202,1644.562017
5 Mar 2024 16:47:19,316.093,20.105,1314.719258
