Time (UTCG),azimuth_1,elevation_1,range_1,azimuth_2,elevation_2,range_2,azimuth_3,elevation_3,range_3,azimuth_4,elevation_4,range_4
31 Mar 2024 05:33:00.000,93.810,8.848,1923.883308,125.498,10.796,1784.140175,95.887,23.003,1201.833071,65.363,7.881,1999.97176
10 Mar 2024 14:54:00.000,306.258,61.877,630.495809,119.934,50.669,704.877817,58.939,12.250,1694.868004,5.028,41.092,813.517738
20 Mar 2024 12:47:00.000,164.290,7.748,1999.977806,305.495,22.090,1238.341324,68.338,7.979,1986.834169,131.511,15.023,1538.504869
02 Mar 2024 20:23:00.000,167.937,8.938,1907.987996,317.596,25.400,1132.381173,212.127,13.263,1629.887832,289.606,7.835,1999.990374
06 Mar 2024 16:45:00.000,290.208,22.359,1231.489027,278.093,34.491,917.227307,3.182,39.995,827.283939,309.923,19.002,1360.053596
20 Mar 2024 11:08:00.000,114.963,9.293,1890.643561,18.319,23.462,1191.976560,328.105,18.167,1392.557423,225.749,34.489,916.108514
07 Mar 2024 18:26:00.000,191.761,13.837,1599.393375,74.303,13.156,1644.405006,199.745,7.818,1989.547522,306.885,13.282,1640.663374
18 Mar 2024 06:04:00.000,197.023,7.731,1999.986367,112.533,25.437,1128.207712,227.400,34.248,918.850815,328.075,30.819,994.938442
10 Mar 2024 14:52:00.000,292.554,22.184,1238.365665,246.760,7.765,1999.985666,39.999,16.051,1489.524777,225.647,7.752,1999.96899
30 Mar 2024 07:09:00.000,281.914,21.930,1245.404248,87.460,35.643,896.580356,225.750,10.236,1817.640204,79.529,20.494,1298.325988
22 Mar 2024 05:58:00.000,73.052,15.611,1514.643898,265.149,21.451,1259.642483,42.452,16.281,1478.653683,232.694,41.55,806.258765
08 Mar 2024 15:00:00.000,334.411,52.079,696.616142,234.579,9.114,1898.567175,298.851,7.808,1999.995416,320.539,26.246,1110.506601
16 Mar 2024 13:00:00.000,121.401,15.485,1517.155203,262.026,7.799,1999.983246,355.491,23.558,1187.517535,225.742,8.294,1957.216083
09 Mar 2024 13:19:00.000,63.609,22.265,1235.730292,110.027,13.409,1622.863028,75.208,12.228,1694.926602,54.616,42.156,799.568518
23 Mar 2024 10:55:00.000,190.542,31.574,975.687276,276.477,7.820,1999.986274,99.706,7.760,1999.987082,61.588,16.094,1490.089069
25 Mar 2024 09:12:00.000,119.152,7.803,1999.976910,305.685,7.861,1999.998357,41.122,13.815,1606.669016,60.794,7.872,1999.989846
14 Mar 2024 11:26:00.000,75.990,7.886,1999.984372,152.343,9.788,1847.774157,41.229,13.739,1611.513299,261.302,7.827,1999.971173
