Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
24 Mar 2024 10:48:00.000,266.298,12.551,1680.860547
27 Mar 2024 09:01:00.000,226.201,39.024,842.246049
10 Mar 2024 13:11:00.000,292.938,21.266,1271.681577
02 Mar 2024 15:14:00.000,265.111,13.691,1614.839356
07 Mar 2024 15:06:00.000,75.371,22.574,1223.760054
31 Mar 2024 00:23:00.000,188.570,7.686,1999.978318
20 Mar 2024 07:39:00.000,268.013,21.970,1243.792034
11 Mar 2024 16:29:00.000,261.108,12.019,1711.944658
18 Mar 2024 06:11:00.000,88.805,7.855,1999.985157
08 Mar 2024 18:19:00.000,253.460,7.807,1999.997053
07 Mar 2024 15:00:00.000,291.106,13.590,1623.341354
28 Mar 2024 03:59:00.000,66.389,25.539,1129.168270
01 Mar 2024 20:26:00.000,161.252,13.694,1606.446819
09 Mar 2024 13:17:00.000,19.384,47.890,735.375929
22 Mar 2024 11:00:00.000,144.501,20.784,1284.598626
19 Mar 2024 12:47:00.000,217.418,28.580,1045.287571
26 Mar 2024 05:42:00.000,320.124,49.611,717.582013
06 Mar 2024 18:28:00.000,213.879,23.730,1180.634295
08 Mar 2024 11:40:00.000,87.388,39.120,842.544094
04 Mar 2024 13:35:00.000,72.687,15.653,1512.917667
08 Mar 2024 13:24:00.000,71.367,8.559,1949.243746
28 Mar 2024 04:00:00.000,68.323,15.883,1500.307826
14 Mar 2024 09:43:00.000,68.604,25.760,1124.571685
09 Mar 2024 13:13:00.000,281.918,13.479,1629.091346
25 Mar 2024 05:45:00.000,307.466,53.855,681.513333
09 Mar 2024 14:55:00.000,295.794,22.035,1243.768968
16 Mar 2024 07:55:00.000,98.144,32.288,962.556577
11 Mar 2024 09:47:00.000,209.234,20.642,1289.861069
18 Mar 2024 07:51:00.000,71.062,15.837,1504.225508
08 Mar 2024 09:57:00.000,158.483,13.876,1599.979919
06 Mar 2024 15:06:00.000,335.237,46.313,751.496605
28 Mar 2024 05:34:00.000,286.178,13.520,1624.679583
12 Mar 2024 13:05:00.000,297.280,21.588,1260.203498
23 Mar 2024 09:09:00.000,290.434,7.887,1999.971819
