Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
03 Mar 2024 18:39:00.000,95.887,23.003,1201.833071
03 Mar 2024 16:59:00.000,58.939,12.250,1694.868004
19 Mar 2024 06:07:00.000,68.338,7.979,1986.834169
05 Mar 2024 11:43:00.000,212.127,13.263,1629.887832
20 Mar 2024 11:03:00.000,3.182,39.995,827.283939
13 Mar 2024 13:03:00.000,328.105,18.167,1392.557423
28 Mar 2024 10:41:00.000,199.745,7.818,1989.547522
16 Mar 2024 14:37:00.000,227.400,34.248,918.850815
24 Mar 2024 07:32:00.000,39.999,16.051,1489.524777
28 Mar 2024 10:39:00.000,225.750,10.236,1817.640204
11 Mar 2024 13:13:00.000,42.452,16.281,1478.653683
23 Mar 2024 07:28:00.000,298.851,7.808,1999.995416
27 Mar 2024 05:40:00.000,355.491,23.558,1187.517535
23 Mar 2024 04:14:00.000,75.208,12.228,1694.926602
16 Mar 2024 13:01:00.000,99.706,7.760,1999.987082
21 Mar 2024 07:41:00.000,41.122,13.815,1606.669016
12 Mar 2024 11:29:00.000,41.229,13.739,1611.513299
20 Mar 2024 05:55:00.000,233.332,7.695,1999.986643
17 Mar 2024 07:52:00.000,49.782,24.512,1157.592196
31 Mar 2024 00:21:00.000,201.794,7.625,1999.983548
14 Mar 2024 13:04:00.000,57.397,22.362,1227.732450
09 Mar 2024 09:51:00.000,204.360,12.987,1645.114942
02 Mar 2024 15:17:00.000,337.924,30.498,999.064563
31 Mar 2024 03:43:00.000,292.543,7.769,1999.993892
04 Mar 2024 18:36:00.000,111.675,25.204,1131.928077
29 Mar 2024 02:13:00.000,74.006,40.858,812.133805
08 Mar 2024 13:23:00.000,51.252,7.834,1999.990562
22 Mar 2024 07:35:00.000,352.795,24.357,1162.938008
02 Mar 2024 13:34:00.000,228.063,35.867,889.928794
17 Mar 2024 12:49:00.000,303.349,7.835,1999.971952
26 Mar 2024 07:21:00.000,316.539,12.438,1685.174051
10 Mar 2024 16:35:00.000,255.445,55.031,669.340853
19 Mar 2024 07:47:00.000,47.822,11.950,1715.769982
18 Mar 2024 11:12:00.000,66.986,14.525,1566.669318
09 Mar 2024 11:37:00.000,42.798,21.478,1260.024926
09 Mar 2024 15:02:00.000,77.605,7.787,1999.982904
06 Mar 2024 10:03:00.000,146.341,9.294,1882.452485
02 Mar 2024 17:01:00.000,42.753,16.231,1479.519138
15 Mar 2024 07:51:00.000,227.986,7.703,1999.985322
17 Mar 2024 12:58:00.000,109.258,8.902,1913.531692
23 Mar 2024 10:54:00.000,278.259,61.673,628.638012
08 Mar 2024 16:46:00.000,109.712,8.947,1908.504750
05 Mar 2024 15:09:00.000,358.858,22.915,1209.802608
12 Mar 2024 16:34:00.000,156.418,7.666,1999.983161
22 Mar 2024 04:09:00.000,202.632,7.650,1999.983520
08 Mar 2024 10:01:00.000,82.395,7.798,1999.993421
12 Mar 2024 09:44:00.000,251.972,35.807,891.647419
22 Mar 2024 05:53:00.000,300.075,50.782,703.621697
16 Mar 2024 12:52:00.000,306.207,7.838,1999.983724
27 Mar 2024 03:54:00.000,259.079,7.717,1999.982104
30 Mar 2024 00:26:00.000,177.413,11.486,1730.390048
07 Mar 2024 13:20:00.000,300.675,18.584,1373.222091
17 Mar 2024 11:16:00.000,69.771,7.815,1999.990996
06 Mar 2024 15:08:00.000,40.551,16.014,1491.138845
29 Mar 2024 02:07:00.000,232.673,7.665,1999.986262
05 Mar 2024 16:54:00.000,78.908,10.150,1827.753785
15 Mar 2024 06:17:00.000,118.298,8.681,1928.236580
14 Mar 2024 09:38:00.000,291.582,30.501,998.346791
21 Mar 2024 09:20:00.000,7.755,24.143,1170.115223
07 Mar 2024 18:29:00.000,153.164,10.541,1793.676291
20 Mar 2024 12:46:00.000,166.937,29.542,1017.445494
21 Mar 2024 11:01:00.000,50.092,51.472,698.604362
12 Mar 2024 16:30:00.000,196.607,25.887,1111.479826
30 Mar 2024 07:10:00.000,314.059,21.345,1263.137036
27 Mar 2024 07:25:00.000,76.783,7.794,1999.999241
10 Mar 2024 18:14:00.000,248.983,7.725,1999.990788
17 Mar 2024 07:54:00.000,56.874,7.831,1999.990154
26 Mar 2024 09:09:00.000,108.674,8.877,1915.494265
17 Mar 2024 09:30:00.000,326.594,22.938,1209.025649
14 Mar 2024 07:55:00.000,211.598,13.151,1635.322225
02 Mar 2024 16:58:00.000,343.767,21.363,1263.622900
14 Mar 2024 13:03:00.000,36.486,28.763,1040.394802
02 Mar 2024 20:16:00.000,288.752,7.779,1999.985726
15 Mar 2024 13:01:00.000,64.537,26.781,1091.114345
06 Mar 2024 18:33:00.000,137.954,7.925,1980.365149
25 Mar 2024 10:48:00.000,228.035,34.935,906.310742
